Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-03-16,K (May 2023),0.0000,0.0000,0.0000,0.0000,23.8249,0,0,0,0
2023-03-17,K (May 2023),0.0000,0.0000,0.0000,0.0000,26.1463,2.3214,0,0,0
2023-03-20,K (May 2023),0.0000,0.0000,0.0000,0.0000,24.942,-1.2043,0,0,0
2023-03-21,K (May 2023),0.0000,0.0000,0.0000,0.0000,22.7699,-2.1721,0,0,0
2023-03-22,K (May 2023),0.0000,0.0000,0.0000,0.0000,23.50,0.7301,0,0,0
2023-03-23,K (May 2023),0.0000,0.0000,0.0000,0.0000,23.125,-0.375,0,0,0
2023-03-24,K (May 2023),0.0000,0.0000,0.0000,0.0000,23.2241,0.0991,0,0,0
2023-03-27,K (May 2023),0.0000,0.0000,0.0000,0.0000,23.15,-0.0741,0,0,0
2023-03-28,K (May 2023),0.0000,0.0000,0.0000,0.0000,22.825,-0.325,0,0,0
2023-03-29,K (May 2023),0.0000,0.0000,0.0000,0.0000,21.70,-1.125,0,0,0
2023-03-30,K (May 2023),0.0000,21.1000,21.8500,0.0000,21.25,-0.45,0,0,0
2023-03-31,K (May 2023),0.0000,20.7500,21.4500,0.0000,21.05,-0.20,0,0,0
2023-04-03,K (May 2023),0.0000,20.7000,21.2000,0.0000,20.60,-0.45,0,0,0
2023-04-04,K (May 2023),0.0000,20.8000,21.0500,0.0000,20.85,0.25,0,0,0
2023-04-05,K (May 2023),21.9500,21.9500,21.3000,21.3000,21.325,0.475,2,0,0
2023-04-06,K (May 2023),0.0000,20.4500,20.9500,0.0000,20.35,-0.975,0,0,0
2023-04-10,K (May 2023),0.0000,20.1500,20.8500,0.0000,20.35,0.00,0,0,0
2023-04-11,K (May 2023),0.0000,19.7000,20.4000,0.0000,20.20,-0.15,0,0,0
2023-04-12,K (May 2023),0.0000,20.0000,20.2500,0.0000,20.40,0.20,0,0,0
2023-04-13,K (May 2023),20.4000,20.4000,19.4000,19.4000,19.50,-0.90,6,0,3
2023-04-14,K (May 2023),0.0000,19.2000,19.8000,0.0000,19.25,-0.25,0,0,3
2023-04-17,K (May 2023),0.0000,18.6000,19.0500,0.0000,18.525,-0.725,0,0,3
2023-04-18,K (May 2023),0.0000,18.0000,18.6000,0.0000,18.35,-0.175,0,0,3
2023-04-19,K (May 2023),0.0000,18.1000,18.4000,0.0000,18.025,-0.325,0,0,3
2023-04-20,K (May 2023),0.0000,18.3000,18.4500,0.0000,18.625,0.600,0,0,3
2023-04-21,K (May 2023),0.0000,18.2500,18.5000,0.0000,18.40,-0.225,0,0,3
2023-04-24,K (May 2023),18.7500,18.7500,18.3000,18.7500,17.725,-0.675,1,0,4
2023-04-25,K (May 2023),18.9500,19.4500,18.6000,18.9500,20.025,2.300,1,0,3
2023-04-26,K (May 2023),0.0000,19.3500,19.0500,0.0000,19.60,-0.425,0,0,3
2023-04-27,K (May 2023),20.2000,20.2000,18.0000,18.0000,17.85,-1.75,4,0,3
2023-04-28,K (May 2023),0.0000,17.6000,17.0500,0.0000,16.825,-1.025,0,0,3
2023-05-01,K (May 2023),16.0500,16.1000,16.0500,16.0500,16.35,-0.475,1,0,32
2023-05-02,K (May 2023),0.0000,19.0500,16.9500,0.0000,17.775,1.425,0,0,4
2023-05-03,K (May 2023),0.0000,17.2500,18.0500,0.0000,18.00,0.225,0,0,4
