Trade Date,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
2007-03-26,13.38,13.79,13.86,13.95,14.19,14.25,14.54,15.01,15.48,,,
2007-03-27,13.93,13.99,13.98,14.05,14.3,14.28,14.59,15.04,15.58,,,
2007-03-28,14.72,14.59,14.39,14.29,14.42,14.46,14.55,15.09,15.6,,,
2007-03-29,14.6,14.55,14.48,14.29,14.33,14.43,14.4,14.9,15.36,,,
2007-03-30,14.49,14.39,14.5,14.31,14.43,14.33,14.38,14.9,15.43,,,
2007-04-02,14.7,14.77,14.61,14.41,14.42,14.39,14.42,14.9,15.36,,,
2007-04-03,14.0,14.28,14.21,14.09,14.17,14.25,14.32,14.76,15.3,,,
2007-04-04,13.65,14.2,14.38,14.42,14.44,14.38,14.62,14.78,15.21,,,
2007-04-05,13.53,14.0,14.26,14.38,14.4,14.34,14.65,14.85,15.27,,,
2007-04-09,13.3,14.03,14.21,14.24,14.31,14.4,14.57,14.84,15.26,,,
2007-04-10,12.71,13.59,14.11,14.25,14.32,14.43,14.59,14.85,15.27,,,
2007-04-11,13.28,13.99,14.48,14.5,14.66,14.58,14.77,15.07,15.26,,,
2007-04-12,12.87,13.73,14.28,14.33,14.49,14.59,14.68,15.02,15.26,,,
2007-04-13,12.39,13.57,14.02,14.13,14.28,14.41,14.65,14.97,15.23,,,
2007-04-16,11.67,12.97,13.35,13.48,13.98,14.29,14.55,14.94,15.2,,,
2007-04-17,11.87,13.14,13.3,13.45,13.91,14.11,14.49,14.87,15.16,,,
2007-04-18,13.13,13.37,13.54,13.98,14.13,14.48,14.88,15.19,,,,
2007-04-19,13.02,13.53,13.8,14.09,14.25,14.64,14.97,15.23,,,,
2007-04-20,13.03,13.48,13.71,13.98,14.17,14.6,14.9,15.19,,,,
2007-04-23,13.22,13.73,13.91,14.14,14.22,14.37,14.62,14.95,15.2,,,
2007-04-24,13.21,13.73,13.97,14.06,14.27,14.38,14.69,14.95,15.06,,,
2007-04-25,13.1,13.51,13.72,13.89,14.1,14.29,14.57,14.74,14.93,,,
2007-04-26,13.11,13.63,13.9,14.11,14.21,14.31,14.53,14.82,14.99,,,
2007-04-27,13.02,13.54,13.75,14.05,14.15,14.31,14.5,14.73,15.01,,,
2007-04-30,13.41,13.86,14.09,14.1,14.22,14.24,14.56,14.76,15.0,,,
2007-05-01,13.43,13.85,13.99,14.11,14.25,14.33,14.55,14.75,15.06,,,
2007-05-02,13.16,13.72,13.97,14.03,14.16,14.33,14.51,14.77,15.02,,,
2007-05-03,13.08,13.61,14.08,14.38,14.49,14.51,14.58,14.93,14.99,,,
2007-05-04,13.14,13.63,14.03,14.47,14.59,14.62,14.74,15.02,15.12,,,
2007-05-07,13.22,13.72,13.89,14.32,14.57,14.66,14.67,14.95,15.06,,,
2007-05-08,13.33,13.87,14.01,14.44,14.55,14.67,14.68,14.98,15.07,,,
2007-05-09,12.94,13.78,14.09,14.35,14.52,14.67,14.67,14.96,15.16,,,
2007-05-10,13.35,14.2,14.38,14.55,14.65,14.65,14.75,15.06,15.25,,,
2007-05-11,12.77,13.94,14.23,14.46,14.59,14.64,14.81,15.06,15.19,,,
2007-05-14,13.34,14.15,14.46,14.64,14.77,14.75,14.78,15.13,15.26,,,
2007-05-15,13.96,14.2,14.66,14.79,14.79,14.86,14.86,15.18,15.24,,,
2007-05-16,14.06,14.5,14.86,14.97,15.01,15.05,15.31,15.35,,,,
2007-05-17,14.16,14.63,14.97,14.96,15.02,15.13,15.28,15.33,,,,
2007-05-18,13.99,14.45,14.82,14.9,14.97,15.1,15.25,15.37,,,,
2007-05-21,13.78,14.27,14.58,14.77,14.86,14.92,14.9,15.18,15.33,,,
2007-05-22,13.81,14.35,14.68,14.81,14.89,14.89,14.99,15.19,15.34,,,
2007-05-23,13.75,14.34,14.61,14.73,14.78,14.83,14.92,15.19,15.36,,,
2007-05-24,14.2,14.71,14.97,15.03,15.08,15.07,15.05,15.34,15.47,,,
2007-05-25,13.96,14.64,14.79,14.95,15.01,15.06,15.1,15.35,15.5,,,
2007-05-29,13.83,14.43,14.7,14.83,14.93,14.97,15.01,15.28,15.45,,,
2007-05-30,13.56,14.34,14.6,14.78,14.85,14.86,14.92,15.19,15.4,,,
2007-05-31,13.57,14.26,14.62,14.81,14.8,14.86,14.86,15.14,15.31,,,
2007-06-01,13.41,14.29,14.66,14.88,14.96,15.14,15.07,15.26,15.4,,,
2007-06-04,13.57,14.34,14.7,14.97,15.04,15.11,15.17,15.28,15.44,,,
2007-06-05,13.71,14.39,14.84,15.01,15.09,15.16,15.25,15.37,15.48,,,
2007-06-06,14.33,14.76,14.97,15.06,15.18,15.29,15.34,15.45,15.56,,,
2007-06-07,15.82,15.32,15.53,15.55,15.58,15.65,15.67,15.7,15.8,,,
2007-06-08,15.08,15.14,15.46,15.52,15.54,15.66,15.72,15.81,15.87,,,
2007-06-11,14.69,14.87,15.16,15.27,15.34,15.43,15.52,15.68,15.73,,,
2007-06-12,15.5,15.27,15.34,15.46,15.53,15.59,15.61,15.71,15.78,,,
2007-06-13,14.78,14.97,15.17,15.25,15.36,15.43,15.47,15.55,15.62,,,
2007-06-14,13.86,14.65,15.0,15.08,15.1,15.24,15.33,15.5,15.61,,,
2007-06-15,13.64,14.43,14.83,14.91,15.0,15.15,15.23,15.48,15.6,,,
